createdon,OrderAmount
8-18-20 6:29,86
8-18-20 7:20,935
8-18-20 9:09,129
8-18-20 9:53,747
8-18-20 15:09,554
8-20-20 6:39,714
8-20-20 10:08,33
8-20-20 10:10,76
8-21-20 1:16,478
8-21-20 7:42,57
8-21-20 7:45,36
8-21-20 7:51,33
8-21-20 7:51,11
8-21-20 8:06,165
8-21-20 8:09,100
8-21-20 10:19,89
8-21-20 10:54,415
8-24-20 1:58,266
8-24-20 6:48,685
8-24-20 7:23,420
8-25-20 5:29,796
8-25-20 6:14,511
8-25-20 8:47,23
8-25-20 8:49,41
8-25-20 8:50,160
8-25-20 8:55,294
8-25-20 9:33,459
8-25-20 9:36,326
8-25-20 23:57,548
8-26-20 2:09,49
8-27-20 1:05,401
8-27-20 1:05,401
8-27-20 1:23,414
8-27-20 2:20,1264
8-27-20 7:37,1234
8-27-20 12:15,268
8-28-20 0:54,1162
8-28-20 0:57,254
8-28-20 7:05,1074
8-28-20 22:57,295
8-29-20 7:33,743
8-30-20 8:45,655
8-30-20 10:04,513
8-31-20 22:40,629
9-1-20 8:41,555
9-2-20 3:49,153
9-2-20 8:15,618
9-4-20 4:10,351
9-4-20 10:45,750
9-4-20 11:02,742
9-5-20 1:04,162
9-6-20 2:30,621
9-6-20 3:26,762
9-6-20 9:04,606
9-6-20 12:08,1251
9-6-20 15:04,216
9-6-20 22:10,439
9-7-20 6:17,555
9-9-20 23:38,892
9-10-20 2:12,893
9-10-20 2:47,626
9-10-20 7:02,503
9-10-20 8:24,654
9-10-20 10:17,1146
9-10-20 23:44,275
9-11-20 0:25,220
9-11-20 0:59,514
9-11-20 8:22,297
9-12-20 10:32,128
9-12-20 12:37,830
9-13-20 7:14,533
9-14-20 9:10,356
9-15-20 2:25,550
9-15-20 7:57,616
9-15-20 22:53,254
9-16-20 1:24,261
9-16-20 7:52,434
9-17-20 11:01,493
9-17-20 23:59,986
9-18-20 23:39,650
9-19-20 1:52,644
9-19-20 5:41,160
9-20-20 2:28,530
9-20-20 9:23,575
9-21-20 21:47,590
9-22-20 1:09,830
9-22-20 4:33,789
9-22-20 7:48,258
9-22-20 23:25,699
9-24-20 4:00,327
9-25-20 6:36,506
9-27-20 8:34,1062
9-27-20 8:35,687
9-27-20 11:38,230
9-27-20 11:43,486
9-28-20 1:28,922
9-28-20 1:41,279
9-28-20 5:34,527
9-29-20 6:38,433
9-30-20 13:09,1010
9-30-20 14:00,409
10-1-20 0:50,780
10-1-20 2:19,351
10-1-20 7:09,682
10-1-20 7:29,770
10-1-20 11:09,390
10-2-20 2:14,650
10-2-20 7:00,379
10-2-20 7:31,367
10-2-20 10:04,467
10-4-20 1:49,931
10-4-20 3:13,542
10-4-20 6:42,699
10-4-20 22:11,251
10-4-20 23:33,458
10-6-20 7:17,311
10-6-20 11:17,281
10-7-20 4:24,688
10-7-20 8:30,698
10-8-20 2:37,1250
10-8-20 3:49,1083
10-8-20 10:40,580
10-9-20 5:16,566
10-9-20 12:37,481
10-10-20 2:29,237
10-10-20 8:16,436
10-10-20 10:59,835
10-10-20 16:08,319
10-11-20 1:51,201
10-11-20 22:10,209
10-11-20 22:17,328
10-12-20 5:50,313
10-12-20 6:26,442
10-12-20 8:04,529
10-13-20 2:57,665
10-14-20 0:45,327
10-14-20 6:29,479
10-14-20 14:13,411
10-14-20 22:08,227
10-15-20 1:15,413
10-15-20 6:14,1119
10-15-20 8:38,175
10-15-20 17:58,392
10-16-20 4:41,261
10-16-20 12:46,512
10-16-20 23:58,541
10-17-20 9:43,830
10-18-20 1:52,425
10-18-20 10:12,220
10-19-20 7:23,530
10-19-20 7:59,282
10-19-20 10:35,369
10-20-20 2:54,437
10-20-20 9:35,674
10-21-20 2:16,1291
10-21-20 4:28,511
10-21-20 4:53,671
10-21-20 7:36,630
10-21-20 11:56,326
10-22-20 3:21,494
10-22-20 4:00,864
10-22-20 6:16,290
10-22-20 6:56,224
10-24-20 5:01,761
10-24-20 7:55,1592
10-24-20 8:42,1188
10-24-20 10:13,283
10-24-20 23:16,481
10-26-20 1:47,521
10-26-20 5:14,887
10-26-20 5:54,627
10-26-20 7:04,580
10-26-20 9:27,561
10-26-20 10:32,626
10-26-20 11:45,482
10-27-20 5:09,414
10-28-20 7:37,523
10-28-20 13:17,451
10-29-20 6:27,256
10-29-20 7:41,467
10-30-20 4:59,1028
10-30-20 9:14,418
10-30-20 12:18,1000
10-31-20 13:34,579
10-31-20 13:48,1030
10-31-20 20:59,465
10-31-20 21:46,590
11-1-20 3:43,433
11-1-20 11:26,287
11-1-20 22:11,295
11-2-20 0:56,493
11-2-20 3:19,463
11-2-20 4:56,458
11-2-20 22:28,319
11-2-20 23:28,286
11-4-20 9:10,372
11-5-20 10:34,92
11-6-20 2:39,257
